FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
030124;0000;71,6666;;;
030125;0000;62,875;;;
030126;0000;49,2083;;;
030127;0000;52,0416;;;
030128;0000;59,7083;;;
030129;0000;71,4166;;;
030130;0000;108,167;;;
030131;0000;73,5833;;;
030201;0000;61,4583;;;
030202;0000;57,9166;;;
030203;0000;52,875;;;
030204;0000;60,375;;;
030205;0000;71,3333;;;
030206;0000;54,5833;;;
030207;0000;60,9583;;;
030208;0000;62,75;;;
030209;0000;60,5833;;;
030210;0000;54;;;
030211;0000;55,5833;;;
030212;0000;76,25;;;
030213;0000;92,4166;;;
030214;0000;56,875;;;
030215;0000;69;;;
030216;0000;74,5;;;
030217;0000;69;;;
030218;0000;74,2916;;;
030219;0000;54,5833;;;
030220;0000;79,625;;;
030221;0000;111,208;;;
030222;0000;89,3333;;;
030223;0000;81,7916;;;
030224;0000;89,4583;;;
030225;0000;70,7916;;;
030226;0000;53,5;;;
030227;0000;50,0416;;;
030228;0000;78,7916;;;
030301;0000;75,25;;;
030302;0000;80,625;;;
030303;0000;98,0416;;;
030304;0000;70,9545;;;
030305;0000;80,0416;;;
030306;0000;105,417;;;
030307;0000;57,875;;;
030308;0000;61,75;;;
030309;0000;51,3333;;;
030310;0000;61,2916;;;
030311;0000;67,0416;;;
030312;0000;60,5833;;;
030313;0000;86,5;;;
030314;0000;61,2083;;;
030315;0000;95,7916;;;
030316;0000;108,208;;;
030317;0000;94,5;;;
030318;0000;65,2083;;;
030319;0000;47,7916;;;
030320;0000;90,875;;;
030321;0000;105,917;;;
030322;0000;66,8999;;;
030323;0000;48,3333;;;
030324;0000;85,25;;;
030325;0000;96,25;;;
030326;0000;75,7272;;;
030327;0000;53;;;
030328;0000;66,125;;;
030329;0000;80;;;
030330;0000;68;;;
030331;0000;78,125;;;
030401;0000;96,7083;;;
030402;0000;66,9166;;;
030403;0000;95,875;;;
030404;0000;127,875;;;
030405;0000;170,458;;;
030406;0000;129,458;;;
030407;0000;87,0833;;;
030408;0000;108,125;;;
030409;0000;137,125;;;
030410;0000;132,375;;;
030411;0000;125,833;;;
030412;0000;132,208;;;
030413;0000;82,1666;;;
030414;0000;51,9166;;;
030415;0000;71,2916;;;
030416;0000;80,4166;;;
030417;0000;93,7916;;;
030418;0000;111,792;;;
030419;0000;136,208;;;
030420;0000;107,75;;;
030421;0000;67,75;;;
030422;0000;83,4583;;;
030423;0000;97,9583;;;
030424;0000;129,125;;;
030425;0000;98,5652;;;
030426;0000;110,292;;;
030427;0000;104,167;;;
030428;0000;108,292;;;
030429;0000;120,095;;;
030430;0000;175,667;;;
030501;0000;199,042;;;
030502;0000;230,667;;;
030503;0000;187,625;;;
030504;0000;114;;;
030505;0000;171,292;;;
030506;0000;200,208;;;
030507;0000;167,042;;;
030508;0000;126,542;;;
030509;0000;189,208;;;
030510;0000;176,417;;;
030511;0000;177,125;;;
030512;0000;147,083;;;
030513;0000;117,375;;;
030514;0000;137,917;;;
030515;0000;145,583;;;
030516;0000;129,25;;;
030517;0000;192,625;;;
030518;0000;270,792;;;
030519;0000;226,083;;;
030520;0000;113,542;;;
030521;0000;9,375;;;
030522;0000;82,5833;;;
030523;0000;207,542;;;
030524;0000;193,75;;;
030525;0000;155,333;;;
030526;0000;195,417;;;
030527;0000;230,292;;;
030528;0000;181,917;;;
030529;0000;136,5;;;
030530;0000;100,792;;;
030531;0000;;;;
030601;0000;148,375;;;
030602;0000;86,8333;;;
030603;0000;122,875;;;
030604;0000;102,917;;;
030605;0000;54,125;;;
030606;0000;76,0416;;;
030607;0000;135,75;;;
030608;0000;110,417;;;
030609;0000;58,625;;;
030610;0000;16,5;;;
030611;0000;55;;;
030612;0000;79,2083;;;
030613;0000;80,4583;;;
030614;0000;48,9166;;;
030615;0000;54,75;;;
030616;0000;104,292;;;
030617;0000;116,75;;;
030618;0000;160,5;;;
030619;0000;148,591;;;
030620;0000;145,667;;;
030621;0000;100,583;;;
030622;0000;61,875;;;
030623;0000;85,6666;;;
030624;0000;148,174;;;
030625;0000;134,667;;;
030626;0000;124,042;;;
030627;0000;116,208;;;
030628;0000;144,636;;;
030629;0000;108,083;;;
030630;0000;69,7083;;;
030701;0000;175,5;;;
030702;0000;141,292;;;
030703;0000;76,5833;;;
030704;0000;52,7083;;;
030705;0000;37,4166;;;
030706;0000;47,7083;;;
030707;0000;22,1667;;;
030708;0000;23,5417;;;
030709;0000;104,875;;;
030710;0000;191;;;
030711;0000;187,708;;;
030712;0000;240;;;
030713;0000;138,292;;;
030714;0000;60,125;;;
030715;0000;170,292;;;
030716;0000;145,542;;;
030717;0000;72,6666;;;
030718;0000;164,375;;;
030719;0000;122,458;;;
030720;0000;33,125;;;
030721;0000;68,25;;;
030722;0000;62,25;;;
030723;0000;88,6666;;;
030724;0000;124,042;;;
030725;0000;131,591;;;
030726;0000;121,917;;;
030727;0000;152,042;;;
030728;0000;138,625;;;
030729;0000;188;;;
030730;0000;143,417;;;
030731;0000;38;;;
030801;0000;60,875;;;
030802;0000;112,708;;;
030803;0000;62,9166;;;
030804;0000;32,125;;;
030805;0000;63,2083;;;
030806;0000;135,542;;;
030807;0000;138,25;;;
030808;0000;199,5;;;
030809;0000;208,143;;;
030810;0000;137,958;;;
030811;0000;47;;;
030812;0000;70,4583;;;
030813;0000;101,318;;;
030814;0000;;;;
030815;0000;117,458;;;
030816;0000;164,708;;;
030817;0000;102,583;;;
030818;0000;47,826;;;
030819;0000;57,4166;;;
030820;0000;37,5;;;
030821;0000;43,25;;;
030822;0000;58,75;;;
030823;0000;79,25;;;
030824;0000;105,083;;;
030825;0000;123,708;;;
030826;0000;149,083;;;
030827;0000;98,4583;;;
030828;0000;98,25;;;
030829;0000;85,2083;;;
030830;0000;71,7916;;;
030831;0000;92,9583;;;
030901;0000;105,375;;;
030902;0000;97,75;;;
030903;0000;31,4167;;;
030904;0000;56,9166;;;
030905;0000;41,375;;;
030906;0000;20,75;;;
030907;0000;18,125;;;
030908;0000;34,913;;;
030909;0000;61,7083;;;
030910;0000;87,75;;;
030911;0000;93,6956;;;
030912;0000;134,667;;;
030913;0000;88,5;;;
030914;0000;55,75;;;
030915;0000;65,2083;;;
030916;0000;89,9091;;;
030917;0000;57,7083;;;
030918;0000;35,7916;;;
030919;0000;45,0833;;;
030920;0000;102,417;;;
030921;0000;82,375;;;
030922;0000;54,4583;;;
030923;0000;37,25;;;
030924;0000;45,875;;;
030925;0000;47,6666;;;
030926;0000;82,9166;;;
030927;0000;30,7917;;;
030928;0000;62,125;;;
030929;0000;69,3333;;;
030930;0000;53,4782;;;
031001;0000;61,375;;;
031002;0000;73,6666;;;
031003;0000;59,0416;;;
031004;0000;82,5;;;
031005;0000;74,2916;;;
031006;0000;67,7916;;;
031007;0000;30,9583;;;
031008;0000;28,7083;;;
031009;0000;61,375;;;
031010;0000;61,6666;;;
031011;0000;86,6666;;;
031012;0000;;;;
031013;0000;;;;
031014;0000;71,5;;;
031015;0000;29,0833;;;
031016;0000;45,0416;;;
031017;0000;42,25;;;
031018;0000;59,4583;;;
031019;0000;55,8333;;;
031020;0000;52,125;;;
031021;0000;63,875;;;
031022;0000;70,625;;;
031023;0000;55,125;;;
031024;0000;55,5;;;
031025;0000;41,7916;;;
031026;0000;42,1666;;;
031027;0000;62,4583;;;
031028;0000;71,9583;;;
031029;0000;67,8333;;;
031030;0000;59,75;;;
031031;0000;76,5833;;;
031101;0000;96,5;;;
031102;0000;54,875;;;
031103;0000;52,4166;;;
031104;0000;53,625;;;
031105;0000;68,9166;;;
031106;0000;54,5833;;;
031107;0000;48,95;;;
031108;0000;42,5416;;;
031109;0000;60,9583;;;
031110;0000;79,5;;;
031111;0000;49,238;;;
031112;0000;49,625;;;
031113;0000;64,5833;;;
031114;0000;49,625;;;
031115;0000;37;;;
031116;0000;43,3333;;;
031117;0000;;;;
031118;0000;61,7083;;;
031119;0000;61,5416;;;
031120;0000;50,5833;;;
031121;0000;54,625;;;
031122;0000;52,3333;;;
031123;0000;40,75;;;
031124;0000;48,5833;;;
031125;0000;50,5416;;;
031126;0000;50;;;
031127;0000;56,7916;;;
031128;0000;54,4583;;;
031129;0000;;;;
031130;0000;;;;
031201;0000;;;;
031202;0000;22,9583;;;
031203;0000;30,875;;;
031204;0000;35,9166;;;
031205;0000;35,125;;;
031206;0000;34,875;;;
031207;0000;28,125;;;
031208;0000;22,75;;;
031209;0000;33,5833;;;
031210;0000;23,375;;;
031211;0000;31,1667;;;
031212;0000;34,2083;;;
031213;0000;30,1667;;;
031214;0000;23,375;;;
031215;0000;34,4166;;;
031216;0000;;;77,1521;
031217;0000;97,0416;;;
031218;0000;77;;;
031219;0000;69,75;;;
031220;0000;83,4583;;;
031221;0000;47,0416;;;
031222;0000;67,7727;;;
031223;0000;81,0416;;;
031224;0000;70,25;;;
031225;0000;56,8333;;;
031226;0000;46,6666;;;
031227;0000;54,25;;;
031228;0000;77;;;
031229;0000;94,0416;;;
031230;0000;74,2083;;;
031231;0000;80,125;;;
040101;0000;62,625;;;
040102;0000;54,6666;;;
040103;0000;56,5833;;;
040104;0000;63,25;;;
040105;0000;52,4583;;;
040106;0000;55;;;
040107;0000;55,4583;;;
